Row (Global DOF),Column (Global DOF),K Value
125,127,-6.734052864000e+08
125,131,1.402927680000e+07
126,120,-4.401600000000e+09
126,126,8.803200000000e+09
126,132,-4.401600000000e+09
127,121,-2.154896916480e+10
127,125,-6.734052864000e+08
127,127,4.309793832960e+10
127,131,0.000000000000e+00
127,133,-2.154896916480e+10
127,137,6.734052864000e+08
128,122,-3.338108928000e+09
128,124,1.043159040000e+08
128,128,6.676217856000e+09
128,130,0.000000000000e+00
128,134,-3.338108928000e+09
128,136,-1.043159040000e+08
129,123,-3.378322080000e+04
129,129,6.756644160000e+04
129,135,-3.378322080000e+04
130,122,-1.043159040000e+08
130,124,2.173248000000e+06
130,128,0.000000000000e+00
130,130,8.692992000000e+06
130,134,1.043159040000e+08
130,136,2.173248000000e+06
131,121,6.734052864000e+08
131,125,1.402927680000e+07
131,127,0.000000000000e+00
131,131,5.611710720000e+07
131,133,-6.734052864000e+08
131,137,1.402927680000e+07
132,126,-4.401600000000e+09
132,132,8.803200000000e+09
132,138,-4.401600000000e+09
133,127,-2.154896916480e+10
133,131,-6.734052864000e+08
133,133,4.309793832960e+10
133,137,0.000000000000e+00
133,139,-2.154896916480e+10
133,143,6.734052864000e+08
134,128,-3.338108928000e+09
134,130,1.043159040000e+08
134,134,6.676217856000e+09
134,136,0.000000000000e+00
134,140,-3.338108928000e+09
134,142,-1.043159040000e+08
135,129,-3.378322080000e+04
135,135,6.756644160000e+04
135,141,-3.378322080000e+04
136,128,-1.043159040000e+08
136,130,2.173248000000e+06
136,134,0.000000000000e+00
136,136,8.692992000000e+06
136,140,1.043159040000e+08
136,142,2.173248000000e+06
137,127,6.734052864000e+08
137,131,1.402927680000e+07
137,133,0.000000000000e+00
137,137,5.611710720000e+07
137,139,-6.734052864000e+08
137,143,1.402927680000e+07
138,132,-4.401600000000e+09
138,138,8.803200000000e+09
138,144,-4.401600000000e+09
139,133,-2.154896916480e+10
139,137,-6.734052864000e+08
139,139,4.309793832960e+10
139,143,0.000000000000e+00
139,145,-2.154896916480e+10
139,149,6.734052864000e+08
140,134,-3.338108928000e+09
140,136,1.043159040000e+08
140,140,6.676217856000e+09
140,142,0.000000000000e+00
140,146,-3.338108928000e+09
140,148,-1.043159040000e+08
141,135,-3.378322080000e+04
141,141,6.756644160000e+04
141,147,-3.378322080000e+04
142,134,-1.043159040000e+08
142,136,2.173248000000e+06
142,140,0.000000000000e+00
142,142,8.692992000000e+06
142,146,1.043159040000e+08
142,148,2.173248000000e+06
143,133,6.734052864000e+08
143,137,1.402927680000e+07
143,139,0.000000000000e+00
143,143,5.611710720000e+07
143,145,-6.734052864000e+08
143,149,1.402927680000e+07
144,138,-4.401600000000e+09
144,144,8.803200000000e+09
144,150,-4.401600000000e+09
145,139,-2.154896916480e+10
145,143,-6.734052864000e+08
145,145,4.309793832960e+10
145,149,0.000000000000e+00
145,151,-2.154896916480e+10
145,155,6.734052864000e+08
146,140,-3.338108928000e+09
146,142,1.043159040000e+08
146,146,6.676217856000e+09
146,148,0.000000000000e+00
146,152,-3.338108928000e+09
146,154,-1.043159040000e+08
147,141,-3.378322080000e+04
147,147,6.756644160000e+04
147,153,-3.378322080000e+04
148,140,-1.043159040000e+08
148,142,2.173248000000e+06
148,146,0.000000000000e+00
148,148,8.692992000000e+06
148,152,1.043159040000e+08
148,154,2.173248000000e+06
149,139,6.734052864000e+08
149,143,1.402927680000e+07
149,145,0.000000000000e+00
149,149,5.611710720000e+07
149,151,-6.734052864000e+08
149,155,1.402927680000e+07
150,144,-4.401600000000e+09
150,150,8.803200000000e+09
150,156,-4.401600000000e+09
151,145,-2.154896916480e+10
151,149,-6.734052864000e+08
151,151,4.309793832960e+10
151,155,0.000000000000e+00
151,157,-2.154896916480e+10
151,161,6.734052864000e+08
152,146,-3.338108928000e+09
152,148,1.043159040000e+08
152,152,6.676217856000e+09
152,154,0.000000000000e+00
152,158,-3.338108928000e+09
152,160,-1.043159040000e+08
153,147,-3.378322080000e+04
153,153,6.756644160000e+04
153,159,-3.378322080000e+04
154,146,-1.043159040000e+08
154,148,2.173248000000e+06
154,152,0.000000000000e+00
154,154,8.692992000000e+06
154,158,1.043159040000e+08
154,160,2.173248000000e+06
155,145,6.734052864000e+08
155,149,1.402927680000e+07
155,151,0.000000000000e+00
155,155,5.611710720000e+07
155,157,-6.734052864000e+08
155,161,1.402927680000e+07
156,150,-4.401600000000e+09
156,156,8.803200000000e+09
156,162,-4.401600000000e+09
157,151,-2.154896916480e+10
157,155,-6.734052864000e+08
157,157,4.309793832960e+10
157,161,0.000000000000e+00
157,163,-2.154896916480e+10
157,167,6.734052864000e+08
158,152,-3.338108928000e+09
158,154,1.043159040000e+08
158,158,6.676217856000e+09
158,160,0.000000000000e+00
158,164,-3.338108928000e+09
158,166,-1.043159040000e+08
159,153,-3.378322080000e+04
159,159,6.756644160000e+04
159,165,-3.378322080000e+04
160,152,-1.043159040000e+08
160,154,2.173248000000e+06
160,158,0.000000000000e+00
160,160,8.692992000000e+06
160,164,1.043159040000e+08
160,166,2.173248000000e+06
161,151,6.734052864000e+08
161,155,1.402927680000e+07
161,157,0.000000000000e+00
161,161,5.611710720000e+07
161,163,-6.734052864000e+08
161,167,1.402927680000e+07
162,156,-4.401600000000e+09
162,162,8.803200000000e+09
162,168,-4.401600000000e+09
163,157,-2.154896916480e+10
163,161,-6.734052864000e+08
163,163,4.309793832960e+10
163,167,0.000000000000e+00
163,169,-2.154896916480e+10
163,173,6.734052864000e+08
164,158,-3.338108928000e+09
164,160,1.043159040000e+08
164,164,6.676217856000e+09
164,166,0.000000000000e+00
164,170,-3.338108928000e+09
164,172,-1.043159040000e+08
165,159,-3.378322080000e+04
165,165,6.756644160000e+04
165,171,-3.378322080000e+04
166,158,-1.043159040000e+08
166,160,2.173248000000e+06
166,164,0.000000000000e+00
166,166,8.692992000000e+06
166,170,1.043159040000e+08
166,172,2.173248000000e+06
167,157,6.734052864000e+08
167,161,1.402927680000e+07
167,163,0.000000000000e+00
167,167,5.611710720000e+07
167,169,-6.734052864000e+08
167,173,1.402927680000e+07
168,162,-4.401600000000e+09
168,168,8.803200000000e+09
168,174,-4.401600000000e+09
169,163,-2.154896916480e+10
169,167,-6.734052864000e+08
169,169,4.309793832960e+10
169,173,0.000000000000e+00
169,175,-2.154896916480e+10
169,179,6.734052864000e+08
170,164,-3.338108928000e+09
170,166,1.043159040000e+08
170,170,6.676217856000e+09
170,172,0.000000000000e+00
170,176,-3.338108928000e+09
170,178,-1.043159040000e+08
171,165,-3.378322080000e+04
171,171,6.756644160000e+04
171,177,-3.378322080000e+04
172,164,-1.043159040000e+08
172,166,2.173248000000e+06
172,170,0.000000000000e+00
172,172,8.692992000000e+06
172,176,1.043159040000e+08
172,178,2.173248000000e+06
173,163,6.734052864000e+08
173,167,1.402927680000e+07
173,169,0.000000000000e+00
173,173,5.611710720000e+07
173,175,-6.734052864000e+08
173,179,1.402927680000e+07
174,168,-4.401600000000e+09
174,174,8.803200000000e+09
174,180,-4.401600000000e+09
175,169,-2.154896916480e+10
175,173,-6.734052864000e+08
175,175,4.309793832960e+10
175,179,0.000000000000e+00
175,181,-2.154896916480e+10
175,185,6.734052864000e+08
176,170,-3.338108928000e+09
176,172,1.043159040000e+08
176,176,6.676217856000e+09
176,178,0.000000000000e+00
176,182,-3.338108928000e+09
176,184,-1.043159040000e+08
177,171,-3.378322080000e+04
177,177,6.756644160000e+04
177,183,-3.378322080000e+04
178,170,-1.043159040000e+08
178,172,2.173248000000e+06
178,176,0.000000000000e+00
178,178,8.692992000000e+06
178,182,1.043159040000e+08
178,184,2.173248000000e+06
179,169,6.734052864000e+08
179,173,1.402927680000e+07
179,175,0.000000000000e+00
179,179,5.611710720000e+07
179,181,-6.734052864000e+08
179,185,1.402927680000e+07
180,174,-4.401600000000e+09
180,180,8.803200000000e+09
180,186,-4.401600000000e+09
181,175,-2.154896916480e+10
181,179,-6.734052864000e+08
181,181,4.309793832960e+10
181,185,0.000000000000e+00
181,187,-2.154896916480e+10
181,191,6.734052864000e+08
182,176,-3.338108928000e+09
182,178,1.043159040000e+08
182,182,6.676217856000e+09
182,184,0.000000000000e+00
182,188,-3.338108928000e+09
182,190,-1.043159040000e+08
183,177,-3.378322080000e+04
183,183,6.756644160000e+04
183,189,-3.378322080000e+04
184,176,-1.043159040000e+08
184,178,2.173248000000e+06
184,182,0.000000000000e+00
184,184,8.692992000000e+06
184,188,1.043159040000e+08
184,190,2.173248000000e+06
185,175,6.734052864000e+08
185,179,1.402927680000e+07
185,181,0.000000000000e+00
