Row (Condensed DOF),Column (Condensed DOF),K Value
133,127,-2.829600000000e+09
133,131,-4.421250000000e+07
133,133,5.659200000000e+09
133,137,0.000000000000e+00
133,139,-2.829600000000e+09
133,143,4.421250000000e+07
134,128,-2.829600000000e+09
134,130,4.421250000000e+07
134,134,5.659200000000e+09
134,136,0.000000000000e+00
134,140,-2.829600000000e+09
134,142,-4.421250000000e+07
135,129,-6.756644160000e+04
135,135,1.351328832000e+05
135,141,-6.756644160000e+04
136,128,-4.421250000000e+07
136,130,-1.482427687500e+06
136,134,0.000000000000e+00
136,136,5.728136625000e+06
136,140,4.421250000000e+07
136,142,-1.482427687500e+06
137,127,4.421250000000e+07
137,131,-1.333845648750e+07
137,133,0.000000000000e+00
137,137,2.944019422500e+07
137,139,-4.421250000000e+07
137,143,-1.333845648750e+07
138,132,-8.803200000000e+09
138,138,1.760640000000e+10
138,144,-8.803200000000e+09
139,133,-2.829600000000e+09
139,137,-4.421250000000e+07
139,139,5.659200000000e+09
139,143,0.000000000000e+00
139,145,-2.829600000000e+09
139,149,4.421250000000e+07
140,134,-2.829600000000e+09
140,136,4.421250000000e+07
140,140,5.659200000000e+09
140,142,0.000000000000e+00
140,146,-2.829600000000e+09
140,148,-4.421250000000e+07
141,135,-6.756644160000e+04
141,141,1.351328832000e+05
141,147,-6.756644160000e+04
142,134,-4.421250000000e+07
142,136,-1.482427687500e+06
142,140,0.000000000000e+00
142,142,5.728136625000e+06
142,146,4.421250000000e+07
142,148,-1.482427687500e+06
143,133,4.421250000000e+07
143,137,-1.333845648750e+07
143,139,0.000000000000e+00
143,143,2.944019422500e+07
143,145,-4.421250000000e+07
143,149,-1.333845648750e+07
144,138,-8.803200000000e+09
144,144,1.760640000000e+10
144,150,-8.803200000000e+09
145,139,-2.829600000000e+09
145,143,-4.421250000000e+07
145,145,5.659200000000e+09
145,149,0.000000000000e+00
145,151,-2.829600000000e+09
145,155,4.421250000000e+07
146,140,-2.829600000000e+09
146,142,4.421250000000e+07
146,146,5.659200000000e+09
146,148,0.000000000000e+00
146,152,-2.829600000000e+09
146,154,-4.421250000000e+07
147,141,-6.756644160000e+04
147,147,1.351328832000e+05
147,153,-6.756644160000e+04
148,140,-4.421250000000e+07
148,142,-1.482427687500e+06
148,146,0.000000000000e+00
148,148,5.728136625000e+06
148,152,4.421250000000e+07
148,154,-1.482427687500e+06
149,139,4.421250000000e+07
149,143,-1.333845648750e+07
149,145,0.000000000000e+00
149,149,2.944019422500e+07
149,151,-4.421250000000e+07
149,155,-1.333845648750e+07
150,144,-8.803200000000e+09
150,150,1.760640000000e+10
150,156,-8.803200000000e+09
151,145,-2.829600000000e+09
151,149,-4.421250000000e+07
151,151,5.659200000000e+09
151,155,0.000000000000e+00
151,157,-2.829600000000e+09
151,161,4.421250000000e+07
152,146,-2.829600000000e+09
152,148,4.421250000000e+07
152,152,5.659200000000e+09
152,154,0.000000000000e+00
152,158,-2.829600000000e+09
152,160,-4.421250000000e+07
153,147,-6.756644160000e+04
153,153,1.351328832000e+05
153,159,-6.756644160000e+04
154,146,-4.421250000000e+07
154,148,-1.482427687500e+06
154,152,0.000000000000e+00
154,154,5.728136625000e+06
154,158,4.421250000000e+07
154,160,-1.482427687500e+06
155,145,4.421250000000e+07
155,149,-1.333845648750e+07
155,151,0.000000000000e+00
155,155,2.944019422500e+07
155,157,-4.421250000000e+07
155,161,-1.333845648750e+07
156,150,-8.803200000000e+09
156,156,1.760640000000e+10
156,162,-8.803200000000e+09
157,151,-2.829600000000e+09
157,155,-4.421250000000e+07
157,157,5.659200000000e+09
157,161,0.000000000000e+00
157,163,-2.829600000000e+09
157,167,4.421250000000e+07
158,152,-2.829600000000e+09
158,154,4.421250000000e+07
158,158,5.659200000000e+09
158,160,0.000000000000e+00
158,164,-2.829600000000e+09
158,166,-4.421250000000e+07
159,153,-6.756644160000e+04
159,159,1.351328832000e+05
159,165,-6.756644160000e+04
160,152,-4.421250000000e+07
160,154,-1.482427687500e+06
160,158,0.000000000000e+00
160,160,5.728136625000e+06
160,164,4.421250000000e+07
160,166,-1.482427687500e+06
161,151,4.421250000000e+07
161,155,-1.333845648750e+07
161,157,0.000000000000e+00
161,161,2.944019422500e+07
161,163,-4.421250000000e+07
161,167,-1.333845648750e+07
162,156,-8.803200000000e+09
162,162,1.760640000000e+10
162,168,-8.803200000000e+09
163,157,-2.829600000000e+09
163,161,-4.421250000000e+07
163,163,5.659200000000e+09
163,167,0.000000000000e+00
163,169,-2.829600000000e+09
163,173,4.421250000000e+07
164,158,-2.829600000000e+09
164,160,4.421250000000e+07
164,164,5.659200000000e+09
164,166,0.000000000000e+00
164,170,-2.829600000000e+09
164,172,-4.421250000000e+07
165,159,-6.756644160000e+04
165,165,1.351328832000e+05
165,171,-6.756644160000e+04
166,158,-4.421250000000e+07
166,160,-1.482427687500e+06
166,164,0.000000000000e+00
166,166,5.728136625000e+06
166,170,4.421250000000e+07
166,172,-1.482427687500e+06
167,157,4.421250000000e+07
167,161,-1.333845648750e+07
167,163,0.000000000000e+00
167,167,2.944019422500e+07
167,169,-4.421250000000e+07
167,173,-1.333845648750e+07
168,162,-8.803200000000e+09
168,168,1.760640000000e+10
168,174,-8.803200000000e+09
169,163,-2.829600000000e+09
169,167,-4.421250000000e+07
169,169,5.659200000000e+09
169,173,0.000000000000e+00
169,175,-2.829600000000e+09
169,179,4.421250000000e+07
170,164,-2.829600000000e+09
170,166,4.421250000000e+07
170,170,5.659200000000e+09
170,172,0.000000000000e+00
170,176,-2.829600000000e+09
170,178,-4.421250000000e+07
171,165,-6.756644160000e+04
171,171,1.351328832000e+05
171,177,-6.756644160000e+04
172,164,-4.421250000000e+07
172,166,-1.482427687500e+06
172,170,0.000000000000e+00
172,172,5.728136625000e+06
172,176,4.421250000000e+07
172,178,-1.482427687500e+06
173,163,4.421250000000e+07
173,167,-1.333845648750e+07
173,169,0.000000000000e+00
173,173,2.944019422500e+07
173,175,-4.421250000000e+07
173,179,-1.333845648750e+07
174,168,-8.803200000000e+09
174,174,1.760640000000e+10
174,180,-8.803200000000e+09
175,169,-2.829600000000e+09
175,173,-4.421250000000e+07
