job_id,x,uy_fem_mm,uy_roark_mm,error_uy_mm,theta_z_fem_deg,theta_z_roark_deg,error_theta_z_deg
0.000000000000000000e+00,1.659999999999999920e+00,-2.273208926656999918e+00,-2.273208932147759320e+00,5.490759402704270542e-09,-1.269115884417776619e-01,-1.269115887374134277e-01,2.956357658678854250e-10
0.000000000000000000e+00,1.679999999999999938e+00,-2.317585459680999715e+00,-2.317585465275016965e+00,5.594017249421767701e-09,-1.273428604451202484e-01,-1.273428607411550562e-01,2.960348077785113219e-10
0.000000000000000000e+00,1.699999999999999956e+00,-2.362107973145000095e+00,-2.362107978842263645e+00,5.697263549819808759e-09,-1.277479947513791014e-01,-1.277479950477001802e-01,2.963210787854109185e-10
0.000000000000000000e+00,1.719999999999999973e+00,-2.406767343270999948e+00,-2.406767349072001405e+00,5.801001456973153836e-09,-1.281269913604396182e-01,-1.281269916570488554e-01,2.966092371714523779e-10
0.000000000000000000e+00,1.739999999999999991e+00,-2.451554446282000033e+00,-2.451554452186729627e+00,5.904729594163882211e-09,-1.284798502723591140e-01,-1.284798505692010540e-01,2.968419399174138107e-10
0.000000000000000000e+00,1.760000000000000009e+00,-2.496460158401000218e+00,-2.496460164408950355e+00,6.007950137387751965e-09,-1.288065714870803014e-01,-1.288065717841568314e-01,2.970765300425171063e-10
0.000000000000000000e+00,1.780000000000000027e+00,-2.541475355849000195e+00,-2.541475361961162083e+00,6.112161887728007059e-09,-1.291071550046604677e-01,-1.291071553019161045e-01,2.972556367719647596e-10
0.000000000000000000e+00,1.800000000000000044e+00,-2.586590914850000367e+00,-2.586590921065866855e+00,6.215866488190613381e-09,-1.293816008250995853e-01,-1.293816011224789841e-01,2.973793988836348490e-10
0.000000000000000000e+00,1.820000000000000062e+00,-2.631797711625999625e+00,-2.631797717945565829e+00,6.319566203671911353e-09,-1.296299089483404221e-01,-1.296299092458453039e-01,2.975048818409931073e-10
0.000000000000000000e+00,1.840000000000000080e+00,-2.677086622400000060e+00,-2.677086628822758385e+00,6.422758325186350703e-09,-1.298520793743828949e-01,-1.298520796720152304e-01,2.976323354442200753e-10
0.000000000000000000e+00,1.860000000000000098e+00,-2.722448523393000031e+00,-2.722448529919945681e+00,6.526945650620064043e-09,-1.300481121032843468e-01,-1.300481124009886802e-01,2.977043334073670167e-10
0.000000000000000000e+00,1.879999999999999893e+00,-2.767874290828999939e+00,-2.767874297459628430e+00,6.630628490711387713e-09,-1.302180071350448054e-01,-1.302180074327656811e-01,2.977208757304339315e-10
0.000000000000000000e+00,1.899999999999999911e+00,-2.813354800928999921e+00,-2.813354807664307344e+00,6.735307422900405072e-09,-1.303617644696069278e-01,-1.303617647673462054e-01,2.977392776770670935e-10
0.000000000000000000e+00,1.919999999999999929e+00,-2.858880929918000025e+00,-2.858880936756483582e+00,6.838483557203289820e-09,-1.304793841069133986e-01,-1.304793844047303086e-01,2.978169100220640075e-10
0.000000000000000000e+00,1.939999999999999947e+00,-2.904443554015999851e+00,-2.904443560958656967e+00,6.942657115871497808e-09,-1.305708660470789040e-01,-1.305708663449178797e-01,2.978389757046784325e-10
0.000000000000000000e+00,1.959999999999999964e+00,-2.950033549446999803e+00,-2.950033556493327325e+00,7.046327521464945676e-09,-1.306362102901033329e-01,-1.306362105879090574e-01,2.978057245250909091e-10
0.000000000000000000e+00,1.979999999999999982e+00,-2.995641792432000017e+00,-2.995641799582997145e+00,7.150997127780556184e-09,-1.306754168358721657e-01,-1.306754171337037307e-01,2.978315649659890596e-10
0.000000000000000000e+00,2.000000000000000000e+00,-3.041259159195000006e+00,-3.041259166450167140e+00,7.255167133735085372e-09,-1.306884856844999776e-01,-1.306884859823019551e-01,2.978019775223827992e-10
1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-0.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000000e+00,2.000000000000000042e-02,-2.265738075675000009e-04,-2.265738079005374451e-04,3.330374441935096685e-13,-1.293816009318989307e-03,-1.293816011224789477e-03,1.905800170454163833e-12
1.000000000000000000e+00,4.000000000000000083e-02,-9.002127119404999952e-04,-9.002127132692494971e-04,1.328749501920689635e-12,-2.561494321456273156e-03,-2.561494325253118806e-03,3.796845650383406934e-12
1.000000000000000000e+00,5.999999999999999778e-02,-2.011792935624999879e-03,-2.011792938606785704e-03,2.981785825195704120e-12,-3.803034936411279088e-03,-3.803034942084987120e-03,5.673708031173063659e-12
1.000000000000000000e+00,8.000000000000000167e-02,-3.552190701125999914e-03,-3.552190706413795290e-03,5.287795375175097234e-12,-5.018437854184006237e-03,-5.018437861720395285e-03,7.536389047546609987e-12
1.000000000000000000e+00,1.000000000000000056e-01,-5.512282230949000668e-03,-5.512282239190927774e-03,8.241927106078517085e-12,-6.207703074775028362e-03,-6.207703084159343736e-03,9.384315373395235582e-12
1.000000000000000000e+00,1.199999999999999956e-01,-7.882943747601000098e-03,-7.882943759438834630e-03,1.183783453206910252e-11,-7.370830598186638334e-03,-7.370830609401831171e-03,1.121519283692196112e-11
1.000000000000000000e+00,1.400000000000000133e-01,-1.065505147359000100e-02,-1.065505148965816169e-02,1.606816069088523591e-11,-8.507820424411383781e-03,-8.507820437447858458e-03,1.303647467754132094e-11
1.000000000000000000e+00,1.600000000000000033e-01,-1.381948163141000045e-02,-1.381948165234955783e-02,2.093955737969555031e-11,-9.618672553454998830e-03,-9.618672568297426465e-03,1.484242763416521171e-11
1.000000000000000000e+00,1.799999999999999933e-01,-1.736711044358000069e-02,-1.736711047001367886e-02,2.643367816301811501e-11,-1.070338698531748088e-02,-1.070338700195053172e-02,1.663305083943189544e-11
1.000000000000000000e+00,2.000000000000000111e-01,-2.128881413260000008e-02,-2.128881416515117364e-02,3.255117356215642133e-11,-1.176196371999882993e-02,-1.176196373840717770e-02,1.840834776278832408e-11
1.000000000000000000e+00,2.200000000000000011e-01,-2.557546892098000110e-02,-2.557546896026267891e-02,3.928267780506367046e-11,-1.279440275749904772e-02,-1.279440277766736439e-02,2.016831666951102164e-11
1.000000000000000000e+00,2.399999999999999911e-01,-3.021795103122000212e-02,-3.021795107784885914e-02,4.662885702555463752e-11,-1.380070409781240272e-02,-1.380070411973108660e-02,2.191868388179418758e-11
1.000000000000000000e+00,2.600000000000000089e-01,-3.520713668583000389e-02,-3.520713674041036495e-02,5.458036106409380750e-11,-1.478086774095035798e-02,-1.478086776459835300e-02,2.364799502052594704e-11
1.000000000000000000e+00,2.800000000000000266e-01,-4.053390210731000476e-02,-4.053390217044782612e-02,6.313782136002643597e-11,-1.573489368690144871e-02,-1.573489371226915318e-02,2.536770446481817487e-11
1.000000000000000000e+00,2.999999999999999889e-01,-4.618912351816999856e-02,-4.618912359046192101e-02,7.229192244828652747e-11,-1.666278193567140645e-02,-1.666278196274350101e-02,2.707209456609405152e-11
1.000000000000000000e+00,3.200000000000000067e-01,-5.216367714091999647e-02,-5.216367722295326553e-02,8.203326906652819162e-11,-1.756453248726022945e-02,-1.756453251602138263e-02,2.876115318128924514e-11
1.000000000000000000e+00,3.400000000000000244e-01,-5.844843919804999788e-02,-5.844843929042255193e-02,9.237255405025734945e-11,-1.844014534166219660e-02,-1.844014537210280844e-02,3.044061183676838311e-11
1.000000000000000000e+00,3.599999999999999867e-01,-6.503428591207999210e-02,-6.503428601537038223e-02,1.032903901299064842e-10,-1.928962049888875707e-02,-1.928962053098777496e-02,3.209901788814306656e-11
1.000000000000000000e+00,3.800000000000000044e-01,-7.191209350551999724e-02,-7.191209362029743479e-02,1.147774375542809366e-10,-2.011295795892845822e-02,-2.011295799267627527e-02,3.374781704090779044e-11
1.000000000000000000e+00,4.000000000000000222e-01,-7.907273820085999883e-02,-7.907273832770436717e-02,1.268443683422049162e-10,-2.091015772178129312e-02,-2.091015775716831629e-02,3.538702317285036258e-11
1.000000000000000000e+00,4.199999999999999845e-01,-8.650709622061000803e-02,-8.650709636009176751e-02,1.394817594757569168e-10,-2.168121978745300021e-02,-2.168121982446389803e-02,3.701089781871225171e-11
1.000000000000000000e+00,4.400000000000000022e-01,-9.420604378727999439e-02,-9.420604393996037662e-02,1.526803822260447419e-10,-2.242614415594357258e-02,-2.242614419456301703e-02,3.861944444794040976e-11
1.000000000000000000e+00,4.600000000000000200e-01,-1.021604571234000086e-01,-1.021604572898108104e-01,1.664108018051280169e-10,-2.314493082725301368e-02,-2.314493086746567674e-02,4.021266306053483675e-11
1.000000000000000000e+00,4.799999999999999822e-01,-1.103612124514000009e-01,-1.103612126321436709e-01,1.807436700307363253e-10,-2.383757980136986046e-02,-2.383757984317188064e-02,4.180202017867173936e-11
1.000000000000000000e+00,5.000000000000000000e-01,-1.187991859938000022e-01,-1.187991861894596574e-01,1.956596551444533816e-10,-2.450409107831130751e-02,-2.450409112168161832e-02,4.337031081491637963e-11
1.000000000000000000e+00,5.200000000000000178e-01,-1.274652539731999934e-01,-1.274652541842594133e-01,2.110594199411508498e-10,-2.514446465806589176e-02,-2.514446470299490019e-02,4.492900843033886815e-11
1.000000000000000000e+00,5.400000000000000355e-01,-1.363502926120999936e-01,-1.363502928390435687e-01,2.269435750434922738e-10,-2.575870054063361669e-02,-2.575870058711171584e-02,4.647809914715139712e-11
1.000000000000000000e+00,5.600000000000000533e-01,-1.454451781328000015e-01,-1.454451783763128225e-01,2.435128210187542663e-10,-2.634679872602020689e-02,-2.634679877403207568e-02,4.801186878622409893e-11
1.000000000000000000e+00,5.799999999999999600e-01,-1.547407867580999907e-01,-1.547407870185677214e-01,2.604677307171954226e-10,-2.690875921422566236e-02,-2.690875926375597277e-02,4.953031040866306967e-11
